Using device: cpu
Starting training...

Episode 274	Average Score (100): -50.98	Epsilon: 0.44
Episode 275	Average Score (100): -50.86	Epsilon: 0.44
Episode 276	Average Score (100): -51.49	Epsilon: 0.44
Episode 277	Average Score (100): -51.18	Epsilon: 0.44
Episode 278	Average Score (100): -50.56	Epsilon: 0.43
Episode 279	Average Score (100): -51.06	Epsilon: 0.43
Episode 280	Average Score (100): -50.55	Epsilon: 0.43
Episode 281	Average Score (100): -51.01	Epsilon: 0.43
Episode 282	Average Score (100): -49.82	Epsilon: 0.43
Episode 283	Average Score (100): -50.27	Epsilon: 0.43
Episode 284	Average Score (100): -49.78	Epsilon: 0.43
Episode 285	Average Score (100): -50.25	Epsilon: 0.42
Episode 286	Average Score (100): -48.97	Epsilon: 0.42
Episode 287	Average Score (100): -47.67	Epsilon: 0.42
Episode 288	Average Score (100): -46.43	Epsilon: 0.42
Episode 289	Average Score (100): -46.65	Epsilon: 0.42
Episode 290	Average Score (100): -46.59	Epsilon: 0.42
Episode 291	Average Score (100): -46.51	Epsilon: 0.42
Episode 292	Average Score (100): -46.57	Epsilon: 0.42
Episode 293	Average Score (100): -46.00	Epsilon: 0.41
Episode 294	Average Score (100): -45.51	Epsilon: 0.41
Episode 295	Average Score (100): -44.98	Epsilon: 0.41
Episode 296	Average Score (100): -44.55	Epsilon: 0.41
Episode 297	Average Score (100): -45.71	Epsilon: 0.41
Episode 298	Average Score (100): -45.43	Epsilon: 0.41
Episode 299	Average Score (100): -44.35	Epsilon: 0.41
Episode 300	Average Score (100): -44.33	Epsilon: 0.41
Episode 300	Average Score (100): -44.33

Episode 301	Average Score (100): -43.04	Epsilon: 0.40
Episode 302	Average Score (100): -42.06	Epsilon: 0.40
Episode 303	Average Score (100): -41.34	Epsilon: 0.40
Episode 304	Average Score (100): -41.45	Epsilon: 0.40
Episode 305	Average Score (100): -41.04	Epsilon: 0.40
Episode 306	Average Score (100): -43.18	Epsilon: 0.40
Episode 307	Average Score (100): -42.98	Epsilon: 0.40
Episode 308	Average Score (100): -42.51	Epsilon: 0.40
Episode 309	Average Score (100): -42.88	Epsilon: 0.40
Episode 310	Average Score (100): -42.35	Epsilon: 0.39
Episode 311	Average Score (100): -41.14	Epsilon: 0.39
Episode 312	Average Score (100): -40.28	Epsilon: 0.39
Episode 313	Average Score (100): -39.47	Epsilon: 0.39
Episode 314	Average Score (100): -39.21	Epsilon: 0.39
Episode 315	Average Score (100): -39.26	Epsilon: 0.39
Episode 316	Average Score (100): -38.45	Epsilon: 0.39
Episode 317	Average Score (100): -37.12	Epsilon: 0.39
Episode 318	Average Score (100): -36.16	Epsilon: 0.38
Episode 319	Average Score (100): -37.41	Epsilon: 0.38
Episode 320	Average Score (100): -36.50	Epsilon: 0.38
Episode 321	Average Score (100): -35.77	Epsilon: 0.38
Episode 322	Average Score (100): -33.72	Epsilon: 0.38
Episode 323	Average Score (100): -34.32	Epsilon: 0.38
Episode 324	Average Score (100): -34.31	Epsilon: 0.38
Episode 325	Average Score (100): -32.64	Epsilon: 0.38
Episode 326	Average Score (100): -32.65	Epsilon: 0.38
Episode 327	Average Score (100): -32.82	Epsilon: 0.37
Episode 328	Average Score (100): -32.21	Epsilon: 0.37
Episode 329	Average Score (100): -32.82	Epsilon: 0.37
Episode 330	Average Score (100): -31.57	Epsilon: 0.37
Episode 331	Average Score (100): -32.06	Epsilon: 0.37
Episode 332	Average Score (100): -31.55	Epsilon: 0.37
Episode 333	Average Score (100): -31.99	Epsilon: 0.37
Episode 334	Average Score (100): -31.28	Epsilon: 0.37
Episode 335	Average Score (100): -29.88	Epsilon: 0.37
Episode 336	Average Score (100): -29.67	Epsilon: 0.36
Episode 337	Average Score (100): -28.77	Epsilon: 0.36
Episode 338	Average Score (100): -27.25	Epsilon: 0.36
Episode 339	Average Score (100): -26.42	Epsilon: 0.36
Episode 340	Average Score (100): -25.43	Epsilon: 0.36
Episode 341	Average Score (100): -27.07	Epsilon: 0.36
Episode 342	Average Score (100): -27.10	Epsilon: 0.36
Episode 343	Average Score (100): -25.73	Epsilon: 0.36
Episode 344	Average Score (100): -25.16	Epsilon: 0.36
Episode 345	Average Score (100): -23.72	Epsilon: 0.35
Episode 346	Average Score (100): -23.40	Epsilon: 0.35
Episode 347	Average Score (100): -23.82	Epsilon: 0.35
Episode 348	Average Score (100): -21.23	Epsilon: 0.35
Episode 349	Average Score (100): -20.12	Epsilon: 0.35
Episode 350	Average Score (100): -18.05	Epsilon: 0.35
Episode 351	Average Score (100): -20.52	Epsilon: 0.35
Episode 352	Average Score (100): -19.66	Epsilon: 0.35
Episode 353	Average Score (100): -18.65	Epsilon: 0.35
Episode 354	Average Score (100): -17.11	Epsilon: 0.35
Episode 355	Average Score (100): -16.07	Epsilon: 0.34
Episode 356	Average Score (100): -15.59	Epsilon: 0.34
Episode 357	Average Score (100): -14.20	Epsilon: 0.34
Episode 358	Average Score (100): -13.09	Epsilon: 0.34
Episode 359	Average Score (100): -12.93	Epsilon: 0.34
Episode 360	Average Score (100): -11.79	Epsilon: 0.34
Episode 361	Average Score (100): -9.45	Epsilon: 0.34
Episode 362	Average Score (100): -7.35	Epsilon: 0.34
Episode 363	Average Score (100): -7.15	Epsilon: 0.34
Episode 364	Average Score (100): -5.63	Epsilon: 0.33
Episode 365	Average Score (100): -3.39	Epsilon: 0.33
Episode 366	Average Score (100): -1.24	Epsilon: 0.33
Episode 367	Average Score (100): -1.36	Epsilon: 0.33
Episode 368	Average Score (100): 3.12	Epsilon: 0.33
Episode 369	Average Score (100): 2.26	Epsilon: 0.33
Episode 370	Average Score (100): 3.15	Epsilon: 0.33
Episode 371	Average Score (100): 4.08	Epsilon: 0.33
Episode 372	Average Score (100): 2.75	Epsilon: 0.33
Episode 373	Average Score (100): 4.02	Epsilon: 0.33
Episode 374	Average Score (100): 4.04	Epsilon: 0.33
Episode 375	Average Score (100): 4.35	Epsilon: 0.32
Episode 376	Average Score (100): 5.90	Epsilon: 0.32
Episode 377	Average Score (100): 7.07	Epsilon: 0.32
Episode 378	Average Score (100): 7.71	Epsilon: 0.32
Episode 379	Average Score (100): 9.75	Epsilon: 0.32
Episode 380	Average Score (100): 10.35	Epsilon: 0.32
Episode 381	Average Score (100): 12.14	Epsilon: 0.32
Episode 382	Average Score (100): 12.30	Epsilon: 0.32
Episode 383	Average Score (100): 14.14	Epsilon: 0.32
Episode 384	Average Score (100): 15.50	Epsilon: 0.32
Episode 385	Average Score (100): 15.49	Epsilon: 0.31
Episode 386	Average Score (100): 14.65	Epsilon: 0.31
Episode 387	Average Score (100): 15.74	Epsilon: 0.31
Episode 388	Average Score (100): 16.26	Epsilon: 0.31
Episode 389	Average Score (100): 18.46	Epsilon: 0.31
Episode 390	Average Score (100): 17.48	Epsilon: 0.31
Episode 391	Average Score (100): 19.27	Epsilon: 0.31
Episode 392	Average Score (100): 19.40	Epsilon: 0.31
Episode 393	Average Score (100): 18.11	Epsilon: 0.31
Episode 394	Average Score (100): 18.73	Epsilon: 0.31
Episode 395	Average Score (100): 19.50	Epsilon: 0.31
Episode 396	Average Score (100): 20.77	Epsilon: 0.30
Episode 397	Average Score (100): 22.63	Epsilon: 0.30
Episode 398	Average Score (100): 23.23	Epsilon: 0.30
Episode 399	Average Score (100): 24.57	Epsilon: 0.30
Episode 400	Average Score (100): 26.55	Epsilon: 0.30
Episode 400	Average Score (100): 26.55

Episode 401	Average Score (100): 27.49	Epsilon: 0.30
Episode 402	Average Score (100): 28.02	Epsilon: 0.30
Episode 403	Average Score (100): 27.92	Epsilon: 0.30
Episode 404	Average Score (100): 29.57	Epsilon: 0.30
Episode 405	Average Score (100): 28.62	Epsilon: 0.30
Episode 406	Average Score (100): 32.42	Epsilon: 0.30
Episode 407	Average Score (100): 32.95	Epsilon: 0.29
Episode 408	Average Score (100): 34.08	Epsilon: 0.29
Episode 409	Average Score (100): 35.84	Epsilon: 0.29
Episode 410	Average Score (100): 37.33	Epsilon: 0.29
Episode 411	Average Score (100): 37.65	Epsilon: 0.29
Episode 412	Average Score (100): 37.32	Epsilon: 0.29
Episode 413	Average Score (100): 37.17	Epsilon: 0.29
Episode 414	Average Score (100): 38.52	Epsilon: 0.29
Episode 415	Average Score (100): 39.04	Epsilon: 0.29
Episode 416	Average Score (100): 39.48	Epsilon: 0.29
Episode 417	Average Score (100): 39.92	Epsilon: 0.29
Episode 418	Average Score (100): 40.66	Epsilon: 0.28
Episode 419	Average Score (100): 42.31	Epsilon: 0.28
Episode 420	Average Score (100): 42.81	Epsilon: 0.28
Episode 421	Average Score (100): 43.80	Epsilon: 0.28
Episode 422	Average Score (100): 43.94	Epsilon: 0.28
Episode 423	Average Score (100): 45.94	Epsilon: 0.28
Episode 424	Average Score (100): 47.56	Epsilon: 0.28
Episode 425	Average Score (100): 48.29	Epsilon: 0.28
Episode 426	Average Score (100): 50.28	Epsilon: 0.28
Episode 427	Average Score (100): 51.45	Epsilon: 0.28
Episode 428	Average Score (100): 49.01	Epsilon: 0.28
Episode 429	Average Score (100): 50.83	Epsilon: 0.28
Episode 430	Average Score (100): 51.10	Epsilon: 0.27
Episode 431	Average Score (100): 53.81	Epsilon: 0.27
Episode 432	Average Score (100): 54.46	Epsilon: 0.27
Episode 433	Average Score (100): 54.93	Epsilon: 0.27
Episode 434	Average Score (100): 54.55	Epsilon: 0.27
Episode 435	Average Score (100): 56.46	Epsilon: 0.27
Episode 436	Average Score (100): 58.09	Epsilon: 0.27
Episode 437	Average Score (100): 59.04	Epsilon: 0.27
Episode 438	Average Score (100): 59.96	Epsilon: 0.27
Episode 439	Average Score (100): 60.83	Epsilon: 0.27
Episode 440	Average Score (100): 60.04	Epsilon: 0.27
Episode 441	Average Score (100): 63.31	Epsilon: 0.27
Episode 442	Average Score (100): 65.18	Epsilon: 0.27
Episode 443	Average Score (100): 65.35	Epsilon: 0.26
Episode 444	Average Score (100): 65.65	Epsilon: 0.26
Episode 445	Average Score (100): 65.42	Epsilon: 0.26
Episode 446	Average Score (100): 67.64	Epsilon: 0.26
Episode 447	Average Score (100): 69.86	Epsilon: 0.26
Episode 448	Average Score (100): 69.44	Epsilon: 0.26
Episode 449	Average Score (100): 69.82	Epsilon: 0.26
Episode 450	Average Score (100): 68.73	Epsilon: 0.26
Episode 451	Average Score (100): 73.41	Epsilon: 0.26
Episode 452	Average Score (100): 74.01	Epsilon: 0.26
Episode 453	Average Score (100): 72.85	Epsilon: 0.26
Episode 454	Average Score (100): 72.84	Epsilon: 0.26
Episode 455	Average Score (100): 74.62	Epsilon: 0.25
Episode 456	Average Score (100): 76.40	Epsilon: 0.25
Episode 457	Average Score (100): 76.79	Epsilon: 0.25
Episode 458	Average Score (100): 76.48	Epsilon: 0.25
Episode 459	Average Score (100): 78.69	Epsilon: 0.25
