Используем устройство: cpu
Начинаем обучение... (Это может занять 10-20 минут)

Эпизод 363	Средний счет (100): -5.54	Epsilon: 0.34
Эпизод 364	Средний счет (100): -6.75	Epsilon: 0.33
Эпизод 365	Средний счет (100): -6.61	Epsilon: 0.33
Эпизод 366	Средний счет (100): -5.23	Epsilon: 0.33
Эпизод 367	Средний счет (100): -4.06	Epsilon: 0.33
Эпизод 368	Средний счет (100): -3.33	Epsilon: 0.33
Эпизод 369	Средний счет (100): -1.95	Epsilon: 0.33
Эпизод 370	Средний счет (100): -1.15	Epsilon: 0.33
Эпизод 371	Средний счет (100): -1.14	Epsilon: 0.33
Эпизод 372	Средний счет (100): -0.15	Epsilon: 0.33
Эпизод 373	Средний счет (100): -0.07	Epsilon: 0.33
Эпизод 374	Средний счет (100): -0.57	Epsilon: 0.33
Эпизод 375	Средний счет (100): 0.55	Epsilon: 0.32
Эпизод 376	Средний счет (100): -1.08	Epsilon: 0.32
Эпизод 377	Средний счет (100): -0.49	Epsilon: 0.32
Эпизод 378	Средний счет (100): -0.47	Epsilon: 0.32
Эпизод 379	Средний счет (100): 2.14	Epsilon: 0.32
Эпизод 380	Средний счет (100): 2.66	Epsilon: 0.32
Эпизод 381	Средний счет (100): 3.24	Epsilon: 0.32
Эпизод 382	Средний счет (100): 3.06	Epsilon: 0.32
Эпизод 383	Средний счет (100): 2.71	Epsilon: 0.32
Эпизод 384	Средний счет (100): 3.70	Epsilon: 0.32
Эпизод 385	Средний счет (100): 4.03	Epsilon: 0.31
Эпизод 386	Средний счет (100): 4.66	Epsilon: 0.31
Эпизод 387	Средний счет (100): 4.59	Epsilon: 0.31
Эпизод 388	Средний счет (100): 5.12	Epsilon: 0.31
Эпизод 389	Средний счет (100): 6.28	Epsilon: 0.31
Эпизод 390	Средний счет (100): 6.44	Epsilon: 0.31
Эпизод 391	Средний счет (100): 4.57	Epsilon: 0.31
Эпизод 392	Средний счет (100): 4.50	Epsilon: 0.31
Эпизод 393	Средний счет (100): 1.06	Epsilon: 0.31
